timestamp,site,latency_ms,jitter_ms,packet_loss_percent,bandwidth_utilization_percent,cpu_utilization_percent,bgp_status
2026-06-25T00:33:54.218688,branch1,36.16,2.74,0.13,74.74,50.01,1
2026-06-25T00:33:54.218688,hub,26.24,3.76,0.24,59.15,53.98,1
2026-06-25T00:33:54.218688,datacenter,10.21,3.94,0.28,36.23,56.5,1
2026-06-25T00:33:55.239024,branch1,18.41,4.32,0.25,78.68,38.02,1
2026-06-25T00:33:55.239024,hub,28.4,3.08,0.18,67.21,39.5,1
2026-06-25T00:33:55.239024,datacenter,42.7,4.33,0.48,44.0,14.61,1
2026-06-25T00:33:56.242191,branch1,33.69,3.36,0.2,45.87,40.73,1
2026-06-25T00:33:56.242191,hub,24.81,3.49,0.48,74.51,53.3,1
2026-06-25T00:33:56.242191,datacenter,25.32,1.34,0.48,46.92,50.67,1
2026-06-25T00:33:57.248344,branch1,16.1,4.61,0.09,22.37,41.47,1
2026-06-25T00:33:57.248344,hub,36.41,4.24,0.31,48.7,40.17,1
2026-06-25T00:33:57.248344,datacenter,37.86,1.4,0.12,60.96,42.76,1
